DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-04-18 23:29:45,100,439,0,206.182,468.548,219.5,180,39510,0,0,29.538,171.936
2022-04-18 23:29:47,100,947,0,164.517,574.49,473.5,180,85230,0,0,9.72,149.713
2022-04-18 23:29:49,100,1011,0,328.389,877.718,505.5,180,90990,0,0,12.184,311.266
2022-04-18 23:29:51,100,1318,0,181.155,430.885,659,180,118620,0,0,9.204,176.967
2022-04-18 23:29:53,100,696,0,296.115,283.253,348,180,62640,0,0,7.056,292.741
2022-04-18 23:29:56,100,1517,0,160.558,118.325,758.5,180,136530,0,0,5.755,158.572
2022-04-18 23:29:58,100,893,0,235.336,262.893,446.5,180,80370,0,0,5.473,232.821
2022-04-18 23:30:00,100,789,0,239.19,170.835,394.5,180,71010,0,0,7.208,236.041
2022-04-18 23:30:02,100,1541,0,129.902,83.537,770.5,180,138690,0,0,3.742,128.441
2022-04-18 23:30:04,100,1202,0,158.32,88.96,601,180,108180,0,0,3.735,156.386
2022-04-18 23:30:06,100,1120,0,187.467,145.93,560,180,100800,0,0,4.679,185.272
2022-04-18 23:30:08,100,1060,0,196.5,203.59,530,180,95400,0,0,4.145,194.66
2022-04-18 23:30:10,100,1776,0,109.755,60.905,888,180,159840,0,0,3.023,108.445
2022-04-18 23:30:12,100,1272,0,156.866,104.769,636,180,114480,0,0,3.25,155.131
2022-04-18 23:30:14,100,2051,0,97.343,66.525,1025.5,180,184590,0,0,1.712,96.278
2022-04-18 23:30:16,100,1950,0,104.952,67.99,975,180,175500,0,0,2.55,100.878
2022-04-18 23:30:18,100,1894,0,103.681,60.19,947,180,170460,0,0,1.241,102.558
2022-04-18 23:30:20,100,1636,0,120.968,72.047,818,180,147240,0,0,4.065,119.246
2022-04-18 23:30:22,100,1480,0,131.937,85.814,740,180,133200,0,0,2.24,130.288
2022-04-18 23:30:24,100,1987,0,100.491,60.508,993.5,180,178830,0,0,1.808,99.624
2022-04-18 23:30:26,100,1555,0,122.73,79.159,777.5,180,139950,0,0,1.973,121.137
2022-04-18 23:30:28,100,1326,0,156.449,133.439,663,180,119340,0,0,2.211,154.975
2022-04-18 23:30:30,100,1142,0,170.621,111.338,571,180,102780,0,0,1.875,169.048
2022-04-18 23:30:32,100,1042,0,191.922,144.846,521,180,93780,0,0,1.801,190.331
