DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-04-18 20:00:44,20,360,0,80.003,56.785,180,291,52380,0,1.236,3.514,71.697
2022-04-18 20:00:46,20,657,0,71.139,40.21,328.5,291,95593.5,0,0.18,1.344,69.167
2022-04-18 20:00:48,20,637,0,61.435,24.737,318.5,291,92683.5,0,0.385,1.237,60.327
2022-04-18 20:00:50,20,724,0,53.546,16.746,362,291,105342,0,0.175,0.906,52.735
2022-04-18 20:00:52,20,742,0,52.398,18.057,371,291,107961,0,0.131,0.798,51.709
2022-04-18 20:00:54,20,767,0,54.048,14.467,383.5,291,111598.5,0,0.093,0.915,53.252
2022-04-18 20:00:56,20,713,0,54.575,21.906,356.5,291,103741.5,0,0.101,0.732,53.881
2022-04-18 20:00:58,20,818,0,47.452,13.881,409,291,119019,0,0.215,0.811,46.791
2022-04-18 20:01:00,20,789,0,49.153,19.487,394.5,291,114799.5,0,0.11,0.61,48.455
2022-04-18 20:01:03,20,876,0,43.855,9.386,438,291,127458,0,0.066,0.682,43.148
2022-04-18 20:01:05,20,768,0,50.932,23.793,384,291,111744,0,0.159,0.786,50.23
2022-04-18 20:01:07,20,970,0,50.691,36.859,485,291,141135,0,0.104,0.691,50.169
2022-04-18 20:01:09,20,882,0,44.546,8.767,441,291,128331,0,0.2,0.706,43.969
2022-04-18 20:01:11,20,832,0,46.893,17.82,416,291,121056,0,0.115,0.62,46.344
2022-04-18 20:01:13,20,650,0,58.669,20.239,325,291,94575,0,0.158,0.891,57.995
2022-04-18 20:01:15,20,650,0,60.145,30.8,325,291,94575,0,0.263,0.894,59.5
2022-04-18 20:01:17,20,863,0,45.184,17.96,431.5,291,125566.5,0,0.095,0.643,44.642
2022-04-18 20:01:19,20,677,0,57.996,29.827,338.5,291,98503.5,0,0.192,1.044,57.406
2022-04-18 20:01:21,20,821,0,50.592,30.906,410.5,291,119455.5,0,0.096,0.833,49.984
2022-04-18 20:01:23,20,895,0,40.789,8.466,447.5,291,130222.5,0,0.112,0.672,40.2
2022-04-18 20:01:25,20,895,0,43.466,17.638,447.5,291,130222.5,0,0.086,0.597,42.835
2022-04-18 20:01:27,20,708,0,55.72,32.673,354,291,103014,0,0.062,0.593,55.102
2022-04-18 20:01:29,20,705,0,58.452,41.516,352.5,291,102577.5,0,0.038,0.58,57.94
2022-04-18 20:01:31,20,519,0,76.765,32.478,259.5,291,75514.5,0,0.189,0.873,76.11
2022-04-18 20:01:33,20,346,0,112.113,68.208,173,291,50343,0,0.055,0.812,111.272
2022-04-18 20:01:35,20,394,0,105.515,67.764,197,291,57327,0,0.058,0.789,104.622
2022-04-18 20:01:37,20,484,0,83.244,65.921,242,291,70422,0,0.039,0.847,82.244
2022-04-18 20:01:39,20,599,0,67.06,40.708,299.5,291,87154.5,0,0.022,0.681,66.454
2022-04-18 20:01:41,20,777,0,50.133,15.388,388.5,291,113053.5,0,0.068,0.683,49.592
2022-04-18 20:01:43,20,546,0,71.278,53.259,273,291,79443,0,0.229,0.947,70.581
2022-04-18 20:01:45,20,490,0,80.959,25.071,245,291,71295,0,0.041,0.857,80.251
2022-04-18 20:01:47,20,510,0,90.522,30.097,255,291,74205,0,0.12,1.047,89.396
2022-04-18 20:01:49,20,492,0,79.443,35.701,246,291,71586,0,0.15,1.035,78.841
2022-04-18 20:01:51,20,520,0,75.129,24.146,260,291,75660,0,0.054,0.869,74.477
2022-04-18 20:01:54,20,687,0,58.074,28.87,343.5,291,99958.5,0,0.084,0.764,57.492
2022-04-18 20:01:56,20,975,0,40.376,7.616,487.5,291,141862.5,0,0.031,0.522,39.983
2022-04-18 20:01:58,20,626,0,48.871,40.197,313,291,91083,0,0.07,0.605,48.481
2022-04-18 20:02:00,20,11,0,1125.091,490.885,5.5,291,1600.5,0,0,0.727,1124.455
2022-04-18 20:02:02,20,30,0,2178.3,1335.117,15,291,4365,0,0,0.533,2178.1
2022-04-18 20:02:04,20,763,0,72.295,269.493,381.5,291,111016.5,0,0.122,0.671,71.824
2022-04-18 20:02:06,20,845,0,46.114,17.307,422.5,291,122947.5,0,0.103,0.711,45.675
2022-04-18 20:02:08,20,928,0,42.486,10.859,464,291,135024,0,0.032,0.556,42.111
2022-04-18 20:02:10,20,968,0,40.374,12.754,484,291,140844,0,0.044,0.494,39.95
2022-04-18 20:02:12,20,904,0,43.418,18.984,452,291,131532,0,0.073,0.525,43.011
2022-04-18 20:02:14,20,945,0,41.359,7.912,472.5,291,137497.5,0,0.08,0.58,40.869
2022-04-18 20:02:16,20,866,0,45.322,19.845,433,291,126003,0,0.043,0.606,44.93
2022-04-18 20:02:18,20,844,0,45.104,19.08,422,291,122802,0,0.028,0.482,44.737
2022-04-18 20:02:20,20,833,0,50.759,20.713,416.5,291,121201.5,0,0.065,0.603,50.357
2022-04-18 20:02:22,20,600,0,66.238,33.892,300,291,87300,0,0.078,0.833,65.715
2022-04-18 20:02:24,20,515,0,97.118,54.151,257.5,291,74932.5,0,0.085,1.08,96.468
2022-04-18 20:02:26,20,540,0,71.589,40.113,270,291,78570,0,0.048,0.772,70.837
